web-scraper-order,web-scraper-start-url,name,price,image-src
"1536626761-1476","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","3.5mm With Mic Super Bass Music In ear Stereo Headphone Headset Earphone Earbuds","$1.51","https://i.ebayimg.com/thumbs/images/m/mGM6kpzg3Aog6ME-cRjd0Ug/s-l225.jpg"
"1536626761-1633","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Wireless Bluetooth Headset Silicone Protect Cover for Apple Airpod Charging Case","$0.99 to $1.29","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1528","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Original Headset Earphones Mic For Samsung Galaxy S7 Edge Note 9 5 8 S8 S9 Plus","$3.98","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1599","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Mini Wireless Earphone Bluetooth Headset Sports Earbuds For iPhone Samsung Hot","$6.13","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1643","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","3.5mm With Mic Super Bass Music In-ear Stereo Headphone Headset Earphone Earbuds","$1.99","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1614","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","New XIAOMI Piston3 Piston Headset earbuds earphone W/Remote & Mic Black","$4.26","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1622","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","3.5mm In-Ear Earphones Bass Stereo Headphones Headset Earbuds With Remote Mic","$0.99","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1505","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Magnet Wireless Bluetooth Sports Earphone Headset Headphone For iPhone Samsung","$4.08","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1532","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","10pcs In-Ear Headset Earphone Headphone Earbud+Mic for Samsung Galaxy","$7.05","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1601","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","3.5mm In-ear Handfree Headset Earphone for Original Samsung GALAXY S4 I9500","$0.71 to $1.24","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1598","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","i7S Dual Wireless Bluetooth Earbud Headset In-Ear Earphone for Android System","$7.14","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1569","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Hot Premium Headset Handsfree Earphone For Samsung Galaxy S6 Edge Universal","$0.92","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1596","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Portable In Ear HANDSFREE HEADSET Earphone Earbuds FOR mobile phone PC Set js-au","$0.71","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1521","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","OEM Original Samsung Galaxy S6 S7 Edge S8 S9 + Note 8 Headset Earphone Earbud","$4.49","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1527","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Wireless Bluetooth 4.1 Stereo HeadSet Handsfree Earphone For iPhone X 8 7 Plus","$0.71 to $1.59","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1570","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Universal 3.5mm Piston In-Ear Stereo Earbuds Earphone Headset Headphone","$0.98 to $1.13","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1464","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Wireless Bluetooth Foldable Headset Stereo Headphone Earphone for iPhone Samsung","$3.79 to $14.24","https://i.ebayimg.com/thumbs/images/m/mmeSc0RB3SOYPIaLUuvjVrA/s-l225.jpg"
"1536626761-1540","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","3.5mm  Earbuds In-Ear Earphone Headphone Handsfree Headset for Xiaomi IPhone","$1.03","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1544","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Universal 4.1 Bluetooth Wireless Stereo Earphone Earbuds Sport Headphone Headset","$1.08 to $4.29","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1530","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","White Headset Earphone Headphone Handfree Mic For Samsung S6 S5 S4 Note 2 3 HG","$0.99","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1551","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Original Earphone Headset Earbud Handsfree For Samsung S9 S8 S7/6 edge Note 8/5","$2.96","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1607","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Headset in-ear earphone handsfree with mic for samsung S7 S8 S6 edge note 4~edge","$0.71","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1654","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Earpods Wireless Earbuds Bluetooth Headphones For Apple iPhone  6 7 8 X 2018","$19.99","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1626","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Original Xiaomi Phone Piston 3 Earphone Headphone Headset Remote MicrophoneHotly","$4.29","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1573","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Universal Stereo 3.5mm in-Ear Earphone Earbuds Headphone with Mic Zipper Headset","$0.75 to $1.79","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1486","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","New Skullcandy Supreme Sound Ink'd 2.0 IN-Ear Earphone Bass Stereo Headset W mic","$1.00 to $3.99","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1511","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Mini Wireless Bluetooth 4.1 Stereo In-Ear Earbud Headset Earphone Earpiece Mic","$0.71 to $1.85","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1648","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","TWS Wireless Bluetooth Earphone Stereo Earbud Headset Headphone w/Charging Box","$0.99 to $7.49","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1495","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Stereo Bluetooth Wireless Headset Headphone Earphone Sport Handfree Universal","$4.03","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1506","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Bluetooth Wireless Headset Stereo Headphone Earphone Sport Handsfree Universal T","$2.89 to $11.49","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1524","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","In-Ear Razer Hammerhead Pro V2 Gaming Headset PC Laptop Music earphone With Mic","$15.99 to $21.99","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1479","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Wireless Magnet Headset Bluetooth Sport Earphone Headphone For iPhone Samsung LG","$3.06","https://i.ebayimg.com/thumbs/images/m/mdRj1sbf3f5f6CKwP4k4Hog/s-l225.jpg"
"1536626761-1625","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Mini Sport Wireless Bluetooth 4.0 Stereo In-Ear Headphone Earphone For All Phone","$0.71 to $2.14","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
