web-scraper-order,web-scraper-start-url,name,price,image-src
"1536624640-1426","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Glossy Cases Phone Covers For iPhone X 8 7 6s Plus Mirror Nice Letter Pattern","$3.78","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536624640-1460","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Business Luxury Retro Soft Flip Leather Wallet Cases For Alcatel 1X Phone Covers","$6.49","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536624640-1383","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Daisy Cute Phone Covers For Samsung Galaxy A3 2016 A5 2017 2015 2018 Mobile Case","$2.49","https://i.ebayimg.com/thumbs/images/m/meK-yRBiVBejU7powJnxKuQ/s-l225.jpg"
"1536624640-1415","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","NILLKIN Super Frosted Shield Plastic Back Phone Covers Cases For HUAWEI P20 Lite","$5.99","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536624640-1433","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Nillkin Flip Matte Thin Qin Leather Wallet Phone Covers Cases For Apple iPhone 7","$8.68","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536624640-1447","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Durable All-Wrap Phone Covers Shell Protector ShockProof For Samsung S8 Plus","$2.32","https://i.ebayimg.com/thumbs/images/m/m0dwxNz5YmMdP2wnh1OBfOw/s-l225.jpg"
"1536624640-1416","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Nillkin Sparkle Matte PU Leather Fashion Phone Covers Cases For XIAOMI RedMi 5","$6.98","https://i.ebayimg.com/thumbs/images/m/mkENXZ2Cix-g_29LE7Y790w/s-l225.jpg"
"1536624640-1429","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","4Colors TPU Bumper Phone Covers Luxury Ultra Slim Mirror Back Soft Silicone Case","$1.16","https://i.ebayimg.com/thumbs/images/m/mQNNQFqSsi_d55AyjBF3Row/s-l225.jpg"
"1536624640-1403","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Nillkin Fashion Sparkle Flip Matte PU Leather Phone Covers Cases For XIAOMI Mi6","$6.98","https://i.ebayimg.com/thumbs/images/m/mUoSWVgptuXKaYHSGMXq1fQ/s-l225.jpg"
"1536624640-1439","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Loop Hook Cover Case Mobile  Phone Bag Shoulder Phone Pouch Phone Covers Sets","$5.27","https://i.ebayimg.com/thumbs/images/m/m63OyHE0awwZBkDDZvD_KyQ/s-l225.jpg"
"1536624640-1437","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Vertical Flip Fashion PU Leather Cases Phone Covers New Skins For Apple iPhone 7","$7.99","https://i.ebayimg.com/thumbs/images/m/mFJD0WwBkL_TmkmGwiMI-QA/s-l225.jpg"
"1536624640-1384","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","For iPhone X 8 7 6s Plus Personal Custom Photo Cases Tempered Glass Phone Covers","$4.99","https://i.ebayimg.com/thumbs/images/m/mSbtz250I0ZUcaxIkrscDVQ/s-l225.jpg"
"1536624640-1393","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Phone Covers Case Cover For Redmi 5 Mi A1 3S 3 4 Pro 4X 4A Note 5A Monkeys","$2.49","https://i.ebayimg.com/thumbs/images/m/mcxB0wyFKTW1jBnjo9BEWdg/s-l225.jpg"
"1536624640-1405","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","For Samsung Galaxy S8 Plus/S7 Hard Case Thin Shockproof Hybrid Phone Covers Skin","$1.54","https://i.ebayimg.com/thumbs/images/m/mVaw32LGihlITkJ4HNdwo5A/s-l225.jpg"
